tweet_id,text,airline_sentiment
570306133677760513,@VirginAmerica What @dhepburn said.,average
570301130888122368,@VirginAmerica plus you've added commercials to the experience... tacky.,good
570301083672813571,@VirginAmerica I didn't today... Must mean I need to take another trip!,average
570301031407624196,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse",negative
570300817074462722,@VirginAmerica and it's a really big bad thing about it,worse
570300767074181121,"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA",negative
570300616901320704,"@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)",good
570300248553349120,"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP",average
570299953286942721,"@virginamerica Well, I didn't…but NOW I DO! :-D",good
570295459631263746,"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me.",good
570294189143031808,@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24,average
570289724453216256,@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D,good
570289584061480960,@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p,good
570287408438120448,@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn,good
570285904809598977,@VirginAmerica Thanks!,good
570282469121007616,@VirginAmerica SFO-PDX schedule is still MIA.,negative
570277724385734656,@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo,good
570276917301137409,@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!,worse
570270684619923457,I ❤️ flying @VirginAmerica. ☺️👍,good
570267956648792064,@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.,good
570265883513384960,@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???,negative
570264145116819457,@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA,good
570259420287868928,@VirginAmerica I love the hipster innovation. You are a feel good brand.,good
570258822297579520,@VirginAmerica will you be making BOS&gt;LAS non stop permanently anytime soon?,average
570256553502068736,@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet,negative
570249102404923392,@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response.,worse
570239632807370753,@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail,negative
570217831557677057,@VirginAmerica do you miss me? Don't worry we'll be together very soon.,average
570207886493782019,@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS,worse
570124596180955136,@VirginAmerica LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix,average
570114021854212096,"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems 😢",worse
570094701371469825,@VirginAmerica Are the hours of operation for the Club at SFO that are posted online current?,average
570088404156698625,"@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!",worse
570084582780899328,"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :(",worse
570076792993611776,@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews,good
570051991277342720,Nice RT @VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP,average
570051381534396416,@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈ #MoodlitMonday,good
570045393565691904,"@VirginAmerica @freddieawards Done and done! Best airline around, hands down!",good
570038941497192448,@VirginAmerica when can I book my flight to Hawaii??,average
570035876845084672,@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk,worse
570033593394667521,"@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr",good
570025482344898560,"@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?",negative
570016304284901379,@VirginAmerica plz help me win my bid upgrade for my flight 2/27 LAX---&gt;SEA!!!  🍷👍💺✈️,average
570015408788414464,@VirginAmerica I have an unused ticket but moved to a new city where you don't fly. How can I fly with you before it expires? #travelhelp,average
570013523650048002,@VirginAmerica are flights leaving Dallas for Seattle on time Feb 24?,average
570012257549070337,@VirginAmerica I'm #elevategold for a good reason: you rock!!,good
570011341483843584,@VirginAmerica  DREAM http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx,average
570010571707256832,@VirginAmerica wow this just blew my mind,good
570010539499393025,@VirginAmerica @ladygaga @carrieunderwood After last night #tribute #SoundOfMusic #Oscars2015 @ladygaga! I think @carrieunderwood agree,average
570009713447825408,@VirginAmerica @ladygaga @carrieunderwood All were entertaining,average
570009035455344640,"@VirginAmerica Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks.",average
570006886012973056,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood,good
570004391731847169,@VirginAmerica wish you flew out of Atlanta... Soon?,average
570001194900426752,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews. Hands down.,average
570000071644872704,@VirginAmerica Will flights be leaving Dallas for LA on February 24th?,average
569996412286582784,@VirginAmerica hi! i'm so excited about your $99 LGA-&gt;DAL deal- but i've been trying 2 book since last week &amp; the page never loads. thx!,negative
569996245462159361,@VirginAmerica you know it. Need it on my spotify stat #guiltypleasures,good
569990222609412097,@VirginAmerica @ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! 😊,good
569990163209850881,@VirginAmerica @ladygaga @carrieunderwood - Carrie!,average
569989504431316993,@VirginAmerica New marketing song? https://t.co/F2LFULCbQ7 let us know what you think?,average
569989321698074624,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh.,average
569989034501500928,@VirginAmerica I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!,worse
569987622484848640,"@VirginAmerica @ladygaga @carrieunderwood all are great , but I have to go with #CarrieUnderwood 😍👌",average
569986782567071744,"@VirginAmerica @LadyGaga @CarrieUnderwood Sorry, Mary Martin had it first!",average
569986348041547778,@VirginAmerica @ladygaga @carrieunderwood  love all three but you really can't beat the classics!,good
569982307634794497,@VirginAmerica Flight 0736 DAL to DCA 2/24 2:10pm. Tried to check in could not. Status please.,average
569976620158578688,@VirginAmerica heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/,worse
569973821396152323,"@VirginAmerica Hi, Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm?",negative
569972508499283968,@VirginAmerica Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV,good
569967019958730753,@VirginAmerica everything was fine until you lost my bag,worse
569961866224652288,@virginamerica Need to change reservation. Have Virgin credit card. Do I need to modify on phone to waive change fee? Or can I do online?,average
569949891163615232,@VirginAmerica I emailed your customer service team. Let me know if you need the tracking number.,average
569948966873370625,"@VirginAmerica hi I just booked a flight but need to add baggage, how can I do this?",average
569946362126602240,@VirginAmerica your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0VrfhjHt,negative
569942903683813376,"@VirginAmerica not worried, it's been a great ride in a new plane with great crew. All airlines should be like this.",good
569941957490774016,@VirginAmerica awesome. I flew yall Sat morning. Any way we can correct my bill ?,good
569940834994401280,"@VirginAmerica Or watch some of the best student films in the country at 35,000 feet! #CMFat35000feet http://t.co/KEK5pDMGiF",average
569940323746516993,@VirginAmerica first time flying you all. do you have a different rate/policy for media Bags? Thanks,average
569935232033366017,@VirginAmerica what is going on with customer service? Is there anyway to speak to a human asap? Thank you.,worse
569934395865493504,@VirginAmerica what happened to Doom?!,average
569933816963342337,@VirginAmerica why can't you supp the biz traveler like @SouthwestAir  and have customer service like @JetBlue #neverflyvirginforbusiness,worse
569933777931145216,@VirginAmerica I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G,good
569933405506310144,@VirginAmerica you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :(,negative
569933360564342784,@VirginAmerica I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness,worse
569929243146088448,@VirginAmerica it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin,worse
569926998824394752,@VirginAmerica I’m having trouble adding this flight my wife booked to my Elevate account. Help? http://t.co/pX8hQOKS3R,worse
569923394990419968,@VirginAmerica Can't bring up my reservation online using Flight Booking Problems code,average
569922008588222465,@VirginAmerica Random Q: what's the distribution of elevate avatars? I bet that kitty has a disproportionate share http://t.co/APtZpuROp4,average
569920824905306113,@VirginAmerica I &lt;3 Flying VA But Life happens and I am trying to #change my trip JPERHI  Can you help.VA home page will not let me ?,average
569919041244147712,@VirginAmerica Why is the site down?  When will it be back up?,negative
569915941192015872,"@VirginAmerica ""You down with RNP?"" ""Yeah you know me!""",average
569913339427434496,"@VirginAmerica hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account?",average
569911816937033728,@VirginAmerica I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday .,worse
569911674158731264,"@VirginAmerica just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin",worse
569911218942517248,@VirginAmerica why is flight 345 redirected?,average
569910981868060673,"@VirginAmerica Is it me, or is your website down?  BTW, your new website isn't a great user experience.  Time for another redesign.",negative
569909224521641984,@VirginAmerica I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile http://t.co/AvyqdMpi1Y,negative
569907336485019648,@VirginAmerica - Let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? #uncomfortable,negative
569896805611089920,@virginamerica What is your phone number. I can't find who to call about a flight reservation.,negative
569894449620369408,@VirginAmerica is anyone doing anything there today?  Website is useless and no one is answering the phone.,worse
569894407001939968,@VirginAmerica trying to add my boy Prince to my ressie. SF this Thursday @VirginAmerica from LAX http://t.co/GsB2J3c4gM,average
569892199690678272,@VirginAmerica why must a traveler miss a flight to Late Flight check a bag?  I missed my morning appointments and you lost my business. #sfo2lax,negative
569891469210755074,@VirginAmerica check out new music http://t.co/maRcnOCWzn,average
569891436100874241,@virginamerica how's a direct flight FLL-&gt;SFO have unexpected layover in Vegas 4 fuel yet peeps next to me bought for Vegas flight. #sneaky,negative
569887310713479168,@VirginAmerica your no Late Flight bag check just lost you my business. I missed flight and AM apt. Three other people on flight had same exp.,negative
569887049446076416,"@VirginAmerica - amazing customer  service, again! 💕💕 RaeAnn in SF - she's the best! #customerservice #virginamerica #flying",good
569884551712886785,@VirginAmerica called your service line and was hung up on. This is awesome. #sarcasm,worse
569884407852437504,@VirginAmerica your site is tripping. I'm trying to check in and I'm getting the plain text version. I am reluctant to enter any card info.,negative
569881548515708928,@VirginAmerica I was scheduled for SFO 2 DAL flight 714 today. Changed to 24th due weather. Looks like flight still on?,average
