,flight,thank,label
0,0.0,0.0,average
1,0.0,0.0,good
2,0.0,0.0,average
3,0.0,0.0,negative
4,0.0,0.0,worse
5,1.0,0.0,negative
6,0.0,0.0,good
7,0.0,0.0,average
8,0.0,0.0,good
9,0.0,0.0,good
10,0.0,0.0,average
11,0.0,0.0,good
12,0.0,0.0,good
13,0.0,0.0,good
14,0.0,1.0,good
15,0.0,0.0,negative
16,1.0,0.0,good
17,0.0,0.0,worse
18,0.0,0.0,good
19,0.0,0.0,good
20,0.0,0.0,negative
21,0.0,0.0,good
22,0.0,0.0,good
23,0.0,0.0,average
24,0.0,0.0,negative
25,0.0,0.0,worse
26,0.0,0.0,negative
27,0.0,0.0,average
28,0.0,0.0,worse
29,0.0,0.0,average
30,1.0,0.0,worse
31,0.0,0.0,average
32,1.0,0.0,worse
33,0.0,0.0,worse
34,1.0,0.0,good
35,0.0,0.0,average
36,0.0,0.0,good
37,0.0,0.0,good
38,1.0,0.0,average
39,0.0,0.0,worse
40,0.0,0.0,good
41,1.0,0.0,negative
42,1.0,0.0,average
43,0.0,0.0,average
44,1.0,0.0,average
45,0.0,0.0,good
46,0.0,0.0,average
47,0.0,0.0,good
48,0.0,0.0,average
49,0.0,0.0,average
50,0.8239467879466785,0.5666671780087065,average
51,0.0,0.0,good
52,0.0,0.0,average
53,0.0,0.0,average
54,1.0,0.0,average
55,0.0,0.0,negative
56,0.0,0.0,good
57,0.0,0.0,good
58,0.0,0.0,average
59,0.0,0.0,average
60,0.0,0.0,average
61,1.0,0.0,worse
62,0.0,0.0,average
63,0.0,0.0,average
64,0.0,0.0,good
65,1.0,0.0,average
66,0.0,0.0,worse
67,1.0,0.0,negative
68,0.0,0.0,good
69,0.0,0.0,worse
70,0.0,0.0,average
71,0.0,0.0,average
72,1.0,0.0,average
73,0.0,0.0,negative
74,0.0,0.0,good
75,0.0,0.0,good
76,0.0,0.0,average
77,0.0,1.0,average
78,0.0,1.0,worse
79,0.0,0.0,average
80,0.0,0.0,worse
81,0.0,0.0,good
82,1.0,0.0,negative
83,1.0,0.0,worse
84,0.0,0.0,worse
85,1.0,0.0,worse
86,1.0,0.0,average
87,0.0,0.0,average
88,0.0,0.0,average
89,0.0,0.0,negative
90,0.0,0.0,average
91,1.0,0.0,average
92,1.0,0.0,worse
93,1.0,0.0,worse
94,1.0,0.0,average
95,0.0,0.0,negative
96,0.0,0.0,negative
97,0.0,0.0,negative
98,1.0,0.0,negative
99,0.0,0.0,worse
100,0.0,0.0,average
101,1.0,0.0,negative
102,0.0,0.0,average
103,1.0,0.0,negative
104,1.0,0.0,negative
105,0.0,0.0,good
106,0.0,0.0,worse
107,0.0,0.0,negative
108,1.0,0.0,average
109,0.0,0.0,good
110,0.0,0.0,average
111,0.0,0.0,good
112,0.0,0.0,average
113,0.0,0.0,good
114,0.0,0.0,good
115,0.0,0.0,worse
116,0.0,0.0,good
117,0.0,1.0,good
118,0.0,0.0,good
119,1.0,0.0,good
120,0.0,0.0,negative
121,1.0,0.0,negative
122,0.0,0.0,negative
123,0.0,1.0,good
124,0.0,1.0,good
125,0.0,0.0,average
126,1.0,0.0,negative
127,0.5880333434473399,0.8088366874679601,good
128,1.0,0.0,average
129,1.0,0.0,average
130,0.0,0.0,negative
131,0.0,0.0,worse
132,1.0,0.0,average
133,1.0,0.0,negative
134,1.0,0.0,worse
135,0.0,0.0,worse
136,1.0,0.0,good
137,0.0,0.0,average
138,0.0,0.0,good
139,1.0,0.0,worse
140,0.0,0.0,negative
141,0.0,0.0,good
142,0.0,0.0,average
143,1.0,0.0,negative
144,0.0,0.0,good
145,1.0,0.0,worse
146,0.0,0.0,negative
147,0.0,0.0,good
148,1.0,0.0,good
149,0.0,0.0,negative
150,0.0,0.0,worse
151,0.0,0.0,average
152,0.0,1.0,good
153,0.0,0.0,average
154,1.0,0.0,average
155,1.0,0.0,average
156,0.0,0.0,average
157,1.0,0.0,negative
158,1.0,0.0,negative
159,0.0,0.0,negative
160,1.0,0.0,negative
161,1.0,0.0,worse
162,0.0,0.0,worse
163,0.0,0.0,negative
164,0.0,0.0,negative
165,0.0,0.0,negative
166,0.0,0.0,average
167,0.0,0.0,worse
168,1.0,0.0,negative
169,0.0,0.0,average
170,0.0,0.0,average
171,0.0,0.0,average
172,1.0,0.0,average
173,0.0,0.0,negative
174,0.0,0.0,negative
175,0.0,0.0,average
176,0.0,1.0,good
177,0.0,0.0,worse
178,0.0,0.0,negative
179,0.0,0.0,average
180,1.0,0.0,average
181,0.0,0.0,negative
182,1.0,0.0,negative
183,0.0,0.0,good
184,0.0,0.0,good
185,1.0,0.0,average
186,0.0,1.0,negative
187,1.0,0.0,negative
188,0.0,0.0,average
189,0.0,0.0,good
190,0.0,0.0,average
191,1.0,0.0,negative
192,0.0,0.0,worse
193,0.0,1.0,good
194,0.0,0.0,negative
195,0.0,0.0,worse
196,1.0,0.0,worse
197,1.0,0.0,negative
198,1.0,0.0,worse
199,0.0,0.0,good
200,0.0,0.0,negative
201,0.0,1.0,good
202,1.0,0.0,average
203,0.0,0.0,good
204,0.0,0.0,good
205,0.0,0.0,good
206,0.5880333434473399,0.8088366874679601,good
207,0.0,0.0,average
208,0.0,1.0,good
209,0.0,0.0,negative
210,1.0,0.0,worse
211,1.0,0.0,negative
212,0.0,1.0,good
213,1.0,0.0,negative
214,0.0,0.0,negative
215,1.0,0.0,average
216,0.0,0.0,negative
217,1.0,0.0,negative
218,1.0,0.0,negative
219,0.0,1.0,negative
220,0.0,0.0,negative
221,1.0,0.0,worse
222,0.0,0.0,good
223,0.0,0.0,good
224,0.0,0.0,negative
225,0.0,0.0,average
226,0.0,0.0,worse
227,0.0,0.0,good
228,0.0,0.0,negative
229,1.0,0.0,good
230,0.0,0.0,good
231,0.0,1.0,good
232,0.0,0.0,negative
233,0.0,0.0,good
234,0.0,0.0,good
235,1.0,0.0,good
